1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,7.订单发起时间 ,8.订单结束时间 
107888,"123.439998,41.777085","123.43869152881,41.77710039691","123.45781236457,41.808227053175",2018/8/8 12:42,2018/8/8 13:04
524604,"123.436372,41.767044","123.43620985243,41.766597222222","123.44917724609,41.743994954427",2018/8/8 8:41,2018/8/8 8:52
529883,"123.358371,41.762956","123.35705906083,41.762521027642","123.37640140462,41.791269913494",2018/8/8 11:18,2018/8/8 11:34
600470,"123.411579,41.816216","123.41148627387,41.816281467014","123.41704752604,41.838628200955",2018/8/8 0:51,2018/8/8 1:14
1538675,"123.459383,41.735586","123.4613636437,41.736289288538","123.46143625367,41.773170472983",2018/8/8 17:18,2018/8/8 17:43
2053347,"123.394832,41.776021","123.39453969491,41.776013990112","123.39410748611,41.752124920915",2018/8/8 8:09,2018/8/8 8:18
2599544,"123.427598,41.785973","123.42749463674,41.786083045324","123.40542030616,41.796829428248",2018/8/8 13:54,2018/8/8 14:24
2985610,"123.374745,41.789455","123.37533346477,41.789626453342","123.3656446631,41.772145895122",2018/8/8 22:43,2018/8/8 22:53
3097287,"123.346734,41.842793","123.34734761745,41.843478541431","123.40454805921,41.794912201178",2018/8/8 11:15,2018/8/8 11:49
3509129,"123.459905,41.79128","123.45995891462,41.791024073171","123.39357438723,41.782444402248",2018/8/8 18:58,2018/8/8 19:31
3554642,"123.382171,41.76521","123.38242540148,41.765236545139","123.37495578342,41.797618543837",2018/8/8 23:13,2018/8/8 23:25
3870224,"123.402547,41.743111","123.40251657187,41.743182340563","123.44658869506,41.731602979961",2018/8/8 14:50,2018/8/8 15:07
4177229,"123.322661,41.814431","123.32423930566,41.814140110058","123.29461535566,41.795952534809",2018/8/8 8:31,2018/8/8 8:47
4202625,"123.507861,41.83603","123.5070751471,41.837012243683","123.45249999526,41.820305504978",2018/8/8 8:21,2018/8/8 8:49
4269181,"123.426857,41.771971","123.42741006361,41.771710353836","123.41618339066,41.758535056984",2018/8/8 11:22,2018/8/8 11:42
4428410,"123.401138,41.769644","123.39943657769,41.768653428819","123.41796196832,41.781285536024",2018/8/8 7:42,2018/8/8 8:06
4459025,"123.431021,41.703218","123.43167600408,41.702903148434","123.39197933452,41.863292411845",2018/8/8 20:08,2018/8/8 20:52
4541787,"123.38864,41.877027","123.38863545887,41.876807053609","123.41961520892,41.8529426886",2018/8/8 5:34,2018/8/8 5:47
4599138,"123.270853,41.791681","123.27744137122,41.793669907301","123.32407767714,41.794236750498",2018/8/8 16:32,2018/8/8 16:45
4666019,"123.294255,41.771125","123.29803194604,41.774757893208","123.44664974112,41.808626398939",2018/8/8 13:15,2018/8/8 14:00
4707202,"123.414608,41.768513","123.41421373739,41.769274904144","123.39227689372,41.734071588193",2018/8/8 22:30,2018/8/8 22:50
4729739,"123.505427,41.778785","123.50476636009,41.779195344744","123.42630909942,41.812015944699",2018/8/8 7:49,2018/8/8 8:31
4821174,"123.419046,41.82297","123.41893926599,41.823234246226","123.40496748266,41.791678630456",2018/8/8 9:12,2018/8/8 9:34
4828928,"123.434969,41.796345","123.43540542787,41.796843002028","123.43287418459,41.809983496218",2018/8/8 12:15,2018/8/8 12:31
4913496,"123.520345,41.749089","123.52027578496,41.748945582753","123.46354674932,41.750033401422",2018/8/8 8:27,2018/8/8 8:43
5041758,"123.409566,41.795338","123.41151340061,41.796882595486","123.37554497613,41.824632703993",2018/8/8 16:19,2018/8/8 16:47
5054504,"123.384569,41.803561","123.38453473619,41.803615668796","123.41316771027,41.791260077566",2018/8/8 10:39,2018/8/8 11:00
5316736,"123.46107,41.728689","123.46196283603,41.728831103818","123.4919974886,41.738289419408",2018/8/8 21:19,2018/8/8 21:40
5394613,"123.438834,41.848032","123.43885768248,41.848054660708","123.45660512021,41.856429163485",2018/8/8 21:35,2018/8/8 21:42
5556060,"123.435298,41.77853","123.43548890019,41.776699472609","123.40754092773,41.774142246489",2018/8/8 20:13,2018/8/8 20:30
5748521,"123.379415,41.819758","123.37924804688,41.820336642795","123.43318630642,41.833579915365",2018/8/8 12:37,2018/8/8 13:07
5809272,"123.328548,41.818136","123.32960387533,41.8170340591","123.32603602932,41.840074092553",2018/8/8 17:59,2018/8/8 18:18
5903222,"123.400649,41.921344","123.40051613768,41.920251860508","123.40269711613,41.886856385729",2018/8/8 20:34,2018/8/8 20:50
5944855,"123.360444,41.781907","123.36018515927,41.780841615357","123.35166387973,41.784931185319",2018/8/8 18:11,2018/8/8 18:22
6028691,"123.318974,41.772696","123.31999502024,41.771457321115","123.32627344088,41.813586700011",2018/8/8 14:07,2018/8/8 14:31
6166933,"123.320325,41.763403","123.320289544,41.763517605352","123.33349353202,41.775534977739",2018/8/8 20:06,2018/8/8 20:21
6259131,"123.451125,41.79772","123.45158638313,41.797710529024","123.50940861621,41.808685747367",2018/8/8 23:21,2018/8/8 23:38
6261511,"123.399434,41.749342","123.39774991517,41.747984321568","123.40198390245,41.739886620038",2018/8/8 7:52,2018/8/8 8:05
6294229,"123.424612,41.807228","123.42489872726,41.807029850202","123.48647654426,41.855704285736",2018/8/8 15:59,2018/8/8 16:34
6344256,"123.426713,41.818562","123.4260977014,41.818443463503","123.41062487974,41.80665342749",2018/8/8 8:38,2018/8/8 9:02
6408189,"123.366544,41.77729","123.36895887587,41.77768500434","123.37047471788,41.809543999566",2018/8/8 16:40,2018/8/8 17:00
6624927,"123.495982,41.808946","123.49592558546,41.808943456317","123.40565180549,41.813939055257",2018/8/8 17:54,2018/8/8 18:27
6712925,"123.436862,41.736044","123.43700798324,41.736751496075","123.44305921858,41.740599662058",2018/8/8 14:59,2018/8/8 15:19
6741917,"123.489105,41.745536","123.48995792673,41.745438929504","123.4273695115,41.764502954229",2018/8/8 9:37,2018/8/8 10:24
6752686,"123.394622,41.804485","123.39495375347,41.804698016678","123.50708803812,41.796415291495",2018/8/8 20:02,2018/8/8 20:24
6901152,"123.410743,41.766445","123.41166966017,41.766470937211","123.40090940039,41.78151810042",2018/8/8 12:11,2018/8/8 12:28
6903280,"123.373135,41.803738","123.37412603391,41.803345405687","123.37574395852,41.81030910454",2018/8/8 12:06,2018/8/8 12:17
6908071,"123.432342,41.922137","123.43215060764,41.922531738281","123.40329264323,41.919901529948",2018/8/8 5:41,2018/8/8 5:50
6936842,"123.407901,41.774787","123.40818285341,41.77523956355","123.42880134157,41.756434607654",2018/8/8 16:45,2018/8/8 17:16
7024598,"123.354855,41.860021","123.35441301099,41.859307770729","123.36426215588,41.857405235812",2018/8/8 18:28,2018/8/8 18:34
7225126,"123.488812,41.804357","123.48886667001,41.804433063557","123.55921734989,41.776608201391",2018/8/8 0:40,2018/8/8 0:57
7373783,"123.349093,41.776557","123.34886316726,41.77658638387","123.33235383587,41.747859508764",2018/8/8 18:25,2018/8/8 18:48
7489657,"123.507345,41.905648","123.50726413677,41.905651252915","123.59467382748,41.922579984552",2018/8/8 8:18,2018/8/8 8:41
7493299,"123.431035,41.815119","123.43146717553,41.815276121899","123.42963790435,41.823602472821",2018/8/8 18:39,2018/8/8 18:49
7524097,"123.417318,41.869606","123.41759440104,41.869548068576","123.43848280165,41.888136121962",2018/8/8 21:25,2018/8/8 21:44
7618499,"123.278498,41.801735","123.27915934245,41.802784288194","123.3095703125,41.795265299479",2018/8/8 8:03,2018/8/8 8:28
7624282,"123.392825,41.752505","123.39378553602,41.752168240017","123.39619791667,41.729691297743",2018/8/8 11:52,2018/8/8 12:02
7750545,"123.327431,41.750368","123.32818223741,41.750063205295","123.36047254774,41.773581542969",2018/8/8 16:28,2018/8/8 16:44
7765974,"123.415453,41.785176","123.50338406033,41.838823242188","123.4483211263,41.796564941406",2018/8/8 10:40,2018/8/8 11:17
7959950,"123.456333,41.803384","123.45609101946,41.803334443643","123.42645520776,41.878505707009",2018/8/8 21:50,2018/8/8 22:27
7986305,"123.354201,41.754952","123.35423416981,41.754937430604","123.37257152318,41.815921963442",2018/8/8 11:17,2018/8/8 11:46
7995974,"123.421127,41.829114","123.42050732627,41.829412660616","123.4266023976,41.785186764196",2018/8/8 7:53,2018/8/8 8:21
8026388,"123.397401,41.848321","123.39838123582,41.847860083682","123.3695679232,41.822383721271",2018/8/8 23:36,2018/8/8 23:54
8042260,"123.452903,41.770502","123.4561859809,41.77020968967","123.41365668403,41.790936143663",2018/8/8 15:43,2018/8/8 16:13
8094935,"123.479987,41.76137","123.48099278397,41.763382313234","123.5039606966,41.781190825229",2018/8/8 10:07,2018/8/8 10:23
8194698,"123.398351,41.848559","123.39842969827,41.848508788252","123.39322420125,41.909702351789",2018/8/8 13:36,2018/8/8 14:01
8451062,"123.376858,41.791854","123.37591861096,41.790642618557","123.36253234327,41.774689227164",2018/8/8 7:34,2018/8/8 7:45
8652986,"123.387021,41.817026","123.39154432509,41.818616807726","123.42981146918,41.832345648872",2018/8/8 8:13,2018/8/8 8:42
8791578,"123.482612,41.720906","123.48238241719,41.720362616907","123.4722110873,41.708261339456",2018/8/8 13:03,2018/8/8 13:15
9004713,"123.488367,41.74948","123.48723504608,41.749355120172","123.41011843135,41.792630043796",2018/8/8 15:08,2018/8/8 15:37
9141677,"123.241905,41.730841","123.24278076172,41.730749782986","123.27276774089,41.75502983941",2018/8/8 7:02,2018/8/8 7:13
9209352,"123.409326,41.774185","123.40941745294,41.7739185661","123.39854843106,41.78876544027",2018/8/8 13:49,2018/8/8 13:59
9214063,"123.34815,41.75667","123.34823540453,41.758309297989","123.32482471395,41.751547220297",2018/8/8 13:46,2018/8/8 14:00
9234754,"123.528089,41.748878","123.52819281684,41.748993869358","123.45786621094,41.727417263455",2018/8/8 12:39,2018/8/8 12:54
9334977,"123.471391,41.803141","123.47154392925,41.803216803593","123.38195697869,41.810338591575",2018/8/8 21:37,2018/8/8 22:11
9509215,"123.471482,41.811691","123.47105776379,41.811544365273","123.43114090917,41.815049266674",2018/8/8 20:48,2018/8/8 21:10
9539679,"123.402448,41.831246","123.40531843825,41.831145096401","123.47325000103,41.836114625643",2018/8/8 17:04,2018/8/8 17:18
9809777,"123.502059,41.773126","123.49866554384,41.773113750325","123.46314287671,41.723554941127",2018/8/8 9:35,2018/8/8 10:01
10254320,"123.454218,41.813851","123.45478526851,41.813591668815","123.48931732438,41.832407215446",2018/8/8 16:28,2018/8/8 16:46
10266704,"123.37195,41.830494","123.37267708836,41.831169313881","123.40977846529,41.82712363939",2018/8/8 9:25,2018/8/8 9:45
10277974,"123.462722,41.690264","123.46279932825,41.690275181804","123.4589216885,41.707960007578",2018/8/8 18:12,2018/8/8 18:18
10297174,"123.507827,41.932099","123.51527254316,41.936339553495","123.54586726865,41.942115834203",2018/8/8 11:29,2018/8/8 11:41
10297418,"123.419856,41.8186","123.42004279201,41.818638844719","123.42112094306,41.866859642596",2018/8/8 13:38,2018/8/8 14:03
10362661,"123.439204,41.79402","123.43907009549,41.795019802517","123.45244249132,41.815000813802",2018/8/8 13:23,2018/8/8 13:35
10486829,"123.456353,41.810182","123.45674524878,41.810442649627","123.51275082432,41.820664080475",2018/8/8 3:10,2018/8/8 3:22
10675498,"123.207617,41.76432","123.20769290046,41.763958781983","123.3416222112,41.744559563731",2018/8/8 20:52,2018/8/8 21:21
10732787,"123.469942,41.833979","123.47058365821,41.833581391779","123.43102304946,41.832373765785",2018/8/8 6:52,2018/8/8 7:02
10862460,"123.399754,41.782186","123.39966658613,41.782167380102","123.4406967931,41.712260213684",2018/8/8 22:26,2018/8/8 22:50
10978498,"123.413035,41.87106","123.41297624891,41.870859750493","123.39956799685,41.873527805247",2018/8/8 21:11,2018/8/8 21:21
11482136,"123.457125,41.730387","123.45739906135,41.730512849573","123.47391093999,41.738951701715",2018/8/8 18:18,2018/8/8 18:29
11501981,"123.36266,41.830755","123.36328553173,41.830740125839","123.38238701049,41.818969677841",2018/8/8 8:00,2018/8/8 8:21
11740366,"123.49541,41.747825","123.49383092155,41.748438556271","123.4352385376,41.807006014923",2018/8/8 9:45,2018/8/8 10:21
11874973,"123.331766,41.792792","123.33131293403,41.792807888455","123.29928900825,41.771399197049",2018/8/8 17:53,2018/8/8 18:11
12012683,"123.526056,41.815488","123.52680342194,41.814393381444","123.4560497132,41.818412807211",2018/8/8 14:47,2018/8/8 15:10
12239873,"123.377366,41.808028","123.37591206917,41.807192599538","123.4002343841,41.792188382628",2018/8/8 12:15,2018/8/8 12:37
12957265,"123.475758,41.778471","123.47556438895,41.778235362455","123.39528835062,41.793367923445",2018/8/8 19:51,2018/8/8 20:22
13171309,"123.455234,41.742887","123.45483513929,41.742578609804","123.51330211633,41.751455775278",2018/8/8 17:28,2018/8/8 17:46
13237045,"123.425876,41.775591","123.4280191779,41.773819454428","123.46451329835,41.801320355781",2018/8/8 15:02,2018/8/8 15:33
13318253,"123.436106,41.808954","123.43606300034,41.808996545623","123.43459976801,41.715841669634",2018/8/8 20:50,2018/8/8 21:18
14255168,"123.457746,41.72973","123.45758924696,41.730633409288","123.43299506293,41.771178656684",2018/8/8 9:52,2018/8/8 10:13
14373577,"123.468217,41.736044","123.46747314791,41.735934136796","123.48462324314,41.745378325728",2018/8/8 14:05,2018/8/8 14:23
14681767,"123.440697,41.805692","123.4407659611,41.805927514825","123.39563211059,41.807270651113",2018/8/8 16:01,2018/8/8 16:19
14722600,"123.432253,41.805865","123.36031826212,41.796142041749","123.43792921894,41.75917516183",2018/8/8 10:11,2018/8/8 10:49
14883661,"123.397088,41.78892","123.39794433594,41.78856499566","123.44081000434,41.796988661024",2018/8/8 10:56,2018/8/8 11:21
15536927,"123.421758,41.789048","123.42195145363,41.789051564859","123.43179432129,41.765386665801",2018/8/8 14:16,2018/8/8 14:35
15568117,"123.415043,41.761616","123.41493869358,41.761618381076","123.39695882161,41.794825846354",2018/8/8 15:55,2018/8/8 16:19
16043539,"123.395017,41.826224","123.39533468481,41.825940887899","123.38331356566,41.894738876815",2018/8/8 21:33,2018/8/8 21:55
16193421,"123.458188,41.67553","123.45379743915,41.676777406709","123.38385782704,41.678743322805",2018/8/8 13:56,2018/8/8 14:16
16230834,"123.398958,41.81979","123.39977721718,41.82020246011","123.39985738857,41.820161407603",2018/8/8 22:33,2018/8/8 22:39
16686297,"123.420936,41.797945","123.42002988746,41.797533533461","123.4005893632,41.816632091865",2018/8/8 20:05,2018/8/8 20:23
17180346,"123.411374,41.839366","123.41132402585,41.83925354654","123.4743222713,41.875896214965",2018/8/8 12:47,2018/8/8 13:16
19039400,"123.391779,41.776086","123.39195363002,41.776076056713","123.4332648409,41.765071239051",2018/8/8 13:38,2018/8/8 14:02
19846565,"123.392521,41.876912","123.39272992493,41.876778791736","123.4061370625,41.873561983622",2018/8/8 15:03,2018/8/8 15:09
20074747,"123.385265,41.799396","123.38419301585,41.799063270574","123.37581860653,41.796674555689",2018/8/8 8:54,2018/8/8 9:05
20781977,"123.432818,41.778525","123.43225585938,41.778385687934","123.4273952908,41.764509277344",2018/8/8 11:28,2018/8/8 11:45
20873372,"123.358558,41.834229","123.35832478568,41.833033338665","123.41905995749,41.818525736515",2018/8/8 8:19,2018/8/8 8:46
21907371,"123.460881,41.7197","123.45954901292,41.71920885643","123.41681041064,41.69020467313",2018/8/8 13:56,2018/8/8 14:12
21975553,"123.326885,41.830692","123.32657463986,41.830080107524","123.38969476114,41.854465888775",2018/8/8 15:39,2018/8/8 16:03
22275182,"123.328645,41.828056","123.32797441913,41.827486422886","123.38878330487,41.77545652288",2018/8/8 11:56,2018/8/8 12:32
22422543,"123.409299,41.750915","123.4057971804,41.749516619705","123.45754244474,41.745147334938",2018/8/8 19:54,2018/8/8 20:13
22750796,"123.340839,41.662337","123.3407888526,41.663151995548","123.34172017516,41.664148947289",2018/8/8 15:48,2018/8/8 15:51
23054776,"123.35378,41.757528","123.35412689225,41.756400796911","123.43389988732,41.776604572332",2018/8/8 10:10,2018/8/8 10:48
23503801,"123.357627,41.75192","123.35744122659,41.751870930836","123.38107455123,41.787477411337",2018/8/8 16:06,2018/8/8 16:29
23892712,"123.421594,41.876168","123.42175053384,41.876200940178","123.38857120883,41.876931099828",2018/8/8 20:26,2018/8/8 20:37
24666415,"123.43575,41.758241","123.43784456644,41.755055012229","123.45226340089,41.79618104254",2018/8/8 0:42,2018/8/8 1:09
24880743,"123.432849,41.802076","123.43291204447,41.801506781677","123.3796392435,41.811137728429",2018/8/8 9:33,2018/8/8 10:00
25098595,"123.436495,41.757159","123.43622215937,41.758537330125","123.43660680588,41.81825622111",2018/8/8 6:38,2018/8/8 7:00
25965602,"123.390427,41.782191","123.38996432082,41.781579654977","123.44014970178,41.770978063409",2018/8/8 7:04,2018/8/8 7:22
26246999,"123.356137,41.810832","123.35682725694,41.810622558594","123.38183837891,41.802615831163",2018/8/8 9:21,2018/8/8 9:34
26728082,"123.324087,41.773115","123.32598653453,41.772714337865","123.34352324341,41.803841715627",2018/8/8 20:47,2018/8/8 21:04
26769711,"123.399033,41.746059","123.39842990451,41.745801052517","123.43244710286,41.761033528646",2018/8/8 8:12,2018/8/8 8:44
26790667,"123.45634,41.742633","123.45602947041,41.743614593306","123.41366223385,41.740385040882",2018/8/8 16:29,2018/8/8 16:47
27104663,"123.334724,41.748188","123.33587322093,41.749530708751","123.27974192252,41.794487442324",2018/8/8 8:52,2018/8/8 9:18
27235789,"123.519443,41.753124","123.51852050781,41.75267171224","123.44502224392,41.801281195747",2018/8/8 11:00,2018/8/8 11:47
100849123,"123.437377,41.854612","123.43725004031,41.854707856787","123.41877540874,41.944484657817",2018/8/8 23:30,2018/8/8 23:58
101583166,"123.460956,41.808227","123.46099882252,41.808316129015","123.42691395447,41.784593474197",2018/8/8 10:12,2018/8/8 10:43
102223031,"123.400103,41.871804","123.40010429878,41.871893006017","123.41012303106,41.827104264392",2018/8/8 8:30,2018/8/8 9:04
103599131,"123.318577,41.772446","123.31862194953,41.772465846386","123.36095266465,41.774038327842",2018/8/8 7:24,2018/8/8 7:50
104137559,"123.410242,41.777496","123.41040068026,41.777462766516","123.3916333728,41.795208979807",2018/8/8 13:19,2018/8/8 13:33
106859173,"123.420845,41.787042","123.42083335715,41.786892969249","123.41418143196,41.857371325896",2018/8/8 20:35,2018/8/8 21:15
107066804,"123.394075,41.688768","123.39350418128,41.687831264634","123.42192811852,41.686991037661",2018/8/8 19:28,2018/8/8 19:40
107204047,"123.433007,41.811452","123.43285851708,41.811492109431","123.41518217988,41.81009248271",2018/8/8 21:59,2018/8/8 22:12
107986218,"123.456693,41.718738","123.45647941782,41.718415044994","123.4590458683,41.741462749573",2018/8/8 10:05,2018/8/8 10:21
109478388,"123.459908,41.793595","123.45997554087,41.793561731276","123.35525335039,41.782180069346",2018/8/8 16:01,2018/8/8 17:02
110203532,"123.441654,41.791914","123.44169080584,41.790760581829","123.4079157108,41.801259441836",2018/8/8 8:10,2018/8/8 8:34
110613362,"123.386423,41.773227","123.38654653619,41.773310403665","123.46153155106,41.735756372864",2018/8/8 9:34,2018/8/8 10:03
110818115,"123.274435,41.766891","123.2757025467,41.765928274781","123.31298378126,41.765269302519",2018/8/8 15:47,2018/8/8 16:02
111229042,"123.489329,41.836767","123.48975299961,41.836557621481","123.4305994739,41.790376784675",2018/8/8 20:09,2018/8/8 20:35
111432514,"123.409309,41.780033","123.40991413198,41.780019736021","123.42113026614,41.773006986774",2018/8/8 9:35,2018/8/8 9:53
111952780,"123.412724,41.734732","123.41328380737,41.73493473065","123.44340607779,41.824385146419",2018/8/8 8:51,2018/8/8 9:26
113113771,"123.359943,41.78188","123.35940263804,41.780788163845","123.46074113045,41.731645158218",2018/8/8 21:33,2018/8/8 21:58
115238672,"123.398059,41.936941","123.40866783487,41.945770790682","123.58517244959,41.912756866695",2018/8/8 15:03,2018/8/8 15:35
116138459,"123.412455,41.797572","123.41182108299,41.79833890142","123.38328647898,41.814330519429",2018/8/8 16:38,2018/8/8 16:49
116296342,"123.376741,41.800226","123.37691221857,41.798155115018","123.34127384891,41.788728860098",2018/8/8 15:12,2018/8/8 15:32
116456190,"123.369622,41.75244","123.36529485225,41.753137067455","123.39652981786,41.79053789007",2018/8/8 20:31,2018/8/8 20:52
116760502,"123.485559,41.741975","123.487039232,41.743057304372","123.42865808698,41.759909291188",2018/8/8 8:43,2018/8/8 9:16
116792736,"123.484287,41.729754","123.48416158705,41.729695693053","123.44151124895,41.688336360932",2018/8/8 23:05,2018/8/8 23:24
118242952,"123.455962,41.746392","123.45528316728,41.746524959271","123.42785203763,41.765528037119",2018/8/8 9:13,2018/8/8 9:44
119828404,"123.412752,41.822047","123.40834465745,41.819415965568","123.45246956198,41.817275355285",2018/8/8 7:11,2018/8/8 7:29
120280994,"123.487706,41.807118","123.48893163455,41.805824582722","123.47653406063,41.784683172183",2018/8/8 18:52,2018/8/8 19:06
120672240,"123.419806,41.786702","123.41957959506,41.786711432252","123.42008515671,41.816776172749",2018/8/8 21:45,2018/8/8 22:09
121213190,"123.205934,41.79398","123.20962855952,41.794036950405","123.25511146099,41.784457679476",2018/8/8 8:16,2018/8/8 8:35
121279470,"123.433513,41.801745","123.43164461252,41.798846361466","123.45159950253,41.746780863371",2018/8/8 16:17,2018/8/8 16:42
121303913,"123.369315,41.793061","123.37025810734,41.793548095547","123.32621515793,41.790235384892",2018/8/8 13:48,2018/8/8 14:11
121795073,"123.41702,41.805916","123.4169409993,41.805819975506","123.40255090446,41.786653153843",2018/8/8 17:45,2018/8/8 18:08
122120284,"123.345892,41.822841","123.34628683937,41.824992495273","123.43270003916,41.79185067361",2018/8/8 8:58,2018/8/8 9:42
122132647,"123.50851,41.742477","123.50761413322,41.742352011683","123.44505267455,41.761895084127",2018/8/8 16:59,2018/8/8 17:16
122258312,"123.442135,41.732511","123.44168259046,41.733030183899","123.39668739672,41.745525050504",2018/8/8 6:23,2018/8/8 6:41
122559090,"123.344543,41.820584","123.34158829892,41.818523179559","123.38774368147,41.801944252738",2018/8/8 7:56,2018/8/8 8:18
123031931,"123.376718,41.79189","123.37695658776,41.791370871154","123.38538090576,41.775663618495",2018/8/8 20:47,2018/8/8 21:01
123230164,"123.517174,41.755791","123.51094036543,41.755657863306","123.43441985517,41.774735359915",2018/8/8 9:43,2018/8/8 10:14
124279429,"123.429336,41.759801","123.4290970391,41.759319327291","123.49787796229,41.712506625633",2018/8/8 18:11,2018/8/8 18:48
124338186,"123.460089,41.789488","123.45984114056,41.788739618572","123.45872329533,41.803200882024",2018/8/8 13:28,2018/8/8 13:37
124372918,"123.422113,41.80544","123.42153531966,41.804393255764","123.48034427584,41.775827939985",2018/8/8 16:06,2018/8/8 16:35
124546383,"123.456395,41.77066","123.45641609986,41.770609025478","123.47062219868,41.801930175204",2018/8/8 11:02,2018/8/8 11:27
124708943,"123.418562,41.824752","123.41862615066,41.824262446433","123.43255416723,41.779488631788",2018/8/8 12:47,2018/8/8 13:11
126011104,"123.377023,41.796169","123.377706977,41.796409776476","123.40932969835,41.795119628906",2018/8/8 13:16,2018/8/8 13:39
126394538,"123.421108,41.687097","123.42166977398,41.686729718462","123.35470547168,41.648252484138",2018/8/8 0:09,2018/8/8 0:24
126456100,"123.23909,41.785892","123.23891328768,41.785905193526","123.2483023252,41.743020664756",2018/8/8 20:40,2018/8/8 21:45
127068903,"123.456349,41.777846","123.52932777792,41.815238828921","123.4559656588,41.78433058963",2018/8/8 13:56,2018/8/8 14:38
129398531,"123.45015,41.797025","123.45057535284,41.79659751882","123.4683871114,41.806499715673",2018/8/8 8:39,2018/8/8 9:03
130465231,"123.258493,41.730371","123.25910523002,41.730745187743","123.24217442175,41.76517285162",2018/8/8 16:33,2018/8/8 16:44
140960996,"123.38363,41.809872","123.38364010631,41.809883721239","123.41733477626,41.798325374828",2018/8/8 20:53,2018/8/8 21:07
141044343,"123.433753,41.807864","123.43350303362,41.808030158954","123.37351914475,41.813014526896",2018/8/8 21:44,2018/8/8 22:12
141062516,"123.487583,41.787267","123.4879151942,41.787299171453","123.51758301551,41.806970454765",2018/8/8 6:44,2018/8/8 6:56
